country,population,source
Grenada,112003,UN projection
Saint Vincent/Grenadines,110608,Official estimate
Jersey,106800,Official estimate
United states virgin islands,104578,UN projection
Federated States of Micronesia,104468,Official annual projection
Tonga,100651,2016 census result
Seychelles,97625,Official estimate
Antigua and Barbuda,96453,Official annual projection
Isle of man,83314,2016 census result
Andorra,76177,Official estimate
Dominica,71808,UN projection
Cayman islands,65813,Official estimate
Bermuda,64027,Official annual projection
Guernsey,62754,Official estimate
American Samoa,56700,Official annual estimate
Northern Mariana Islands,56200,Official annual estimate
Greenland,56225,Official estimate
Marshall Islands,55500,Official annual estimate
South Ossetia,53532,Preliminary 2015 census result
Saint Kitts and Nevis,52823,UN projection
Faroe Islands,52122,Monthly official estimate
Turks and Caicos Islands,41369,Official estimate
Sint Maarten,40614,Official estimate
Liechtenstein,38380,Official semi annual estimate
Monaco,38300,Official annual estimate
 Saint-Martin,35746,Official estimate
Gibraltar,33701,UN projection
San Marino,33524,Official monthly estimate
British Virgin Islands,30030,UN projection
Palau,17900,Official annual estimate
Cook Islands,15200,Official annual estimate
Anguilla,14869,UN projection
Wallis and Futuna,11700,Official annual estimate
Nauru,11000,Official annual estimate
Tuvalu,10200,Official annual estimate
Saint Barthélemy,9793,Official estimate
Saint Pierre and Miquelon,6008,Official estimate
" 
Saint Helena, Ascensionand Tristan da Cunha",5633,2016 census result
Montserrat,4989,UN projection
Falkland Islands,3198,2016 census result
Christmas Island,1928,Official estimate
Norfolk Island,1756,Official estimate
Niue,1520,Official annual estimate
Tokelau,1400,Official annual estimate
Vatican City,799,UN projection
Cocos (Keeling) Islands,538,Official estimate
Pitcairn Islands,50,Official estimate
Russian Federation,114500000,Google
